firstname,lastname,department,username,password,OU1,OU2,OU3,DC1,DC2,DC3
Christian,Kumar,Engineer,ChristianKumar,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Rhys,Guevara,Engineer,RhysGuevara,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Pierce,Buckley,Engineer,PierceBuckley,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Barney,Barnett,Engineer,BarneyBarnett,Optimus12345,OU=StructuralEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Jemima,Tillman,Engineer,JemimaTillman,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Hudson,Dudley,Engineer,HudsonDudley,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Jessie,French,Engineer,JessieFrench,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Olivia,Armstrong,Engineer,OliviaArmstrong,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Rowan,Little,Engineer,RowanLittle,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Gareth,Rodriquez,Engineer,GarethRodriquez,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Rick,Mendez,Engineer,RickMendez,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Dylan,Rodrigues,Engineer,DylanRodrigues,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Dean,Cross,Engineer,DeanCross,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Gordon,Downes,Engineer,GordonDownes,Optimus12345,OU=CivilEngineers,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Jeremy,Murphy,Technician,JeremyMurphy,Optimus12345,OU=GeotechnicalTechnicians,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Ashley,Greenwood,Technician,AshleyGreenwood,Optimus12345,OU=GeotechnicalTechnicians,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Mark,Solis,Accounting,MarkSolis,Optimus12345,OU=Accounting,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Eilish,Lindsey,Accounting,EilishLindsey,Optimus12345,OU=Accounting,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Hollie,Wilder,Payroll,HollieWilder,Optimus12345,OU=Payroll,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Leonard,Hayward,Marketing,LeonardHayward,Optimus12345,OU=Marketing,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Debbie,Keenan,Marketing,DebbieKeenan,Optimus12345,OU=Marketing,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Luke,O'Connor,Reception,LukeO'Connor,Optimus12345,OU=Reception,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
ManKit,Kwan,ITAdministrator,ManKitKwan,Optimus12345,OU=ITAdministrator,OU=Hamilton,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Ajay,Nash,Manager,AjayNash,Optimus12345,OU=ProjectManagers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Melanie,Quintana,Engineer,MelanieQuintana,Optimus12345,OU=StructuralEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Felicia,Paterson,Engineer,FeliciaPaterson,Optimus12345,OU=StructuralEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Dillan,Kerr,Engineer,DillanKerr,Optimus12345,OU=StructuralEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Isaac,Horton,Engineer,IsaacHorton,Optimus12345,OU=StructuralEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Tom,Moore,Engineer,TomMoore,Optimus12345,OU=StructuralEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Trinity,North,Engineer,TrinityNorth,Optimus12345,OU=CivilEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Minnie,Laing,Engineer,MinnieLaing,Optimus12345,OU=CivilEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Tom,Barton,Engineer,TomBarton,Optimus12345,OU=CivilEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Victor,Warner,Engineer,VictorWarner,Optimus12345,OU=CivilEngineers,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Remi,Jones,Technician,RemiJones,Optimus12345,OU=GeotechnicalTechnicians,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Verity,Hyde,Reception,VerityHyde,Optimus12345,OU=Reception,OU=Auckland,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Mason,Kenny,Manager,MasonKenny,Optimus12345,OU=ProjectManager,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Astrid,Searle,Engineer,AstridSearle,Optimus12345,OU=StructuralEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Vivienne,Hardy,Engineer,VivienneHardy,Optimus12345,OU=StructuralEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Rachel,Southern,Engineer,RachelSouthern,Optimus12345,OU=StructuralEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Cory,Stevenson,Engineer,CoryStevenson,Optimus12345,OU=StructuralEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Keenan,Bowler,Engineer,KeenanBowler,Optimus12345,OU=StructuralEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Walter,Marshall,Engineer,WalterMarshall,Optimus12345,OU=StructuralEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Barry,Nava,Engineer,BarryNava,Optimus12345,OU=CivilEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Rodney,Calvert,Engineer,RodneyCalvert,Optimus12345,OU=CivilEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Jordon,McGregor,Engineer,JordonMcGregor,Optimus12345,OU=CivilEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Harper,Wilkinson,Engineer,HarperWilkinson,Optimus12345,OU=CivilEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Lucy,Yu,Engineer,LucyYu,Optimus12345,OU=CivilEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Chantelle,Watkins,Engineer,ChantelleWatkins,Optimus12345,OU=CivilEngineers,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Adrian,Potter,Technician,AdrianPotter,Optimus12345,OU=GeotechnicalTechnicians,OU=Rotorua,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Kirk,Worthington,Engineer,KirkWorthington,Optimus12345,OU=StructuralEngineers,OU=Thames,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
Isabella,Walmsley,Engineer,IsabellaWalmsley,Optimus12345,OU=CivilEngineers,OU=Thames,OU=Employee-Profile,DC=ad,DC=optimus,DC=com
